Country Name,Country Code,Access to electricity (% of population),"Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,38.4,6.0,42.966,1286.949843126749,1.9,3430.7248022942526,22.52775620070291,652230.0,540586044.0,2.5662673519856902,-851298.0,48.1377315470579,27.6859504132231,28.8,20.5906579215423,92.7458765409573,,,,,,,,
Angola,AGO,37.5,6.0,64.842,6727.963288568308,1.7,47034.74350945041,5.174514123852319,1246700.0,42809246706.0,3.11405449295742,100563.0,52.1442449228259,15.0,58.9,57.7564632930133,78.3795617615055,,,,,,,,
Albania,ALB,99.4,8.0,45.61,7130.472734902183,15.0361,13958.33511890724,5.149567760728772,27400.0,998858784.0,1.8207653435572,-49770.0,66.033265550449,7.14285714285714,32.0,48.2022815728384,54.9166987982008,4634.0,821.0,66.76,529.0,-0.01,875.0,489.0,246.0
United Arab Emirates,ARE,100.0,6.0,75.051,100813.18822892876,61.0,108792.65198723946,12.533960671494754,71020.0,122108961968.0,3.28052136989454,722380.0,81.3051319156827,22.5,0.1,82.758608500318,0.287786784353692,,,,,,,,
Argentina,ARG,97.2,13.0,55.937,16455.112980167396,25.9466,35704.943614603,14.939925024583474,2736690.0,54917631943.0,0.792548175031362,-18099.0,63.4900304155036,40.0,7.7,90.4796632279031,19.178244400597016,6073.0,862.0,65.94,653.0,-144.0,881.0,0.75,279.0
Armenia,ARM,99.2,10.0,54.415,7136.754055199534,6.02125,13636.946853175354,4.2778755387818,28470.0,1147275458.0,3.04257470127966,-29980.0,68.9034694211648,9.16030534351145,7.0,64.4257647857723,46.248043890778206,4882.0,0.76,64.08,605.0,-252.0,817.0,454.0,412.0
Australia,AUS,100.0,11.0,62.415,36708.166006725616,69.45,111093.41734462572,4.984606065520111,7682300.0,139489530668.0,1.81127596229823,249873.0,67.468039218311,26.6666666666667,7.0,85.8968519574969,10.290478084703636,7285.0,965.0,69.96,891.0,343.0,513.0,762.0,215.0
Austria,AUT,100.0,9.0,56.506,39192.37245237902,69.37,92379.48772335485,2.259270887560234,82520.0,163515889503.0,0.906103987717548,24616.0,67.4691862746705,32.7868852459016,29.0,67.0211044863084,11.33882640237468,,,,,,,,
Azerbaijan,AZE,99.5,9.0,57.876,11973.959632353564,14.54,40454.36325872649,20.582482986148264,82629.0,6056608999.0,2.86419491898944,17112.0,69.7417733844122,11.3821138211382,3.8,52.8281555175781,56.6619865088247,4568.0,753.0,60.86,522.0,-209.0,871.0,474.0,284.0
Burundi,BDI,4.7,,75.809,593.560734529723,0.7,3394.138211628873,8.281178548284345,25680.0,44521347.0,3.41459524778307,22129.0,52.2438106738722,30.5084745762712,95.3,9.77289185737152,87.1014182361404,,,,,,,,
