Country Name,Country Code,Access to electricity (% of population),"Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,97.7,9.0,42.014,2335.795862344538,13.5,2772.9525602191616,2.403656187657461,652230.0,831859250.0,0.945226799939516,-71491.0,52.2756584397329,27.710843373494,19.5,24.8352821238871,82.22336041810959,2662.0,491.0,53.25,427.0,-119.0,954.0,435.0,371.0
Angola,AGO,42.9,10.0,63.045,8006.836614976964,26.0,50785.44384955986,23.712806150813208,1246700.0,34509386245.0,2.5079828055057902,77731.0,52.0639319428822,30.4545454545455,52.5,65.0850525086068,65.22111795611939,,,,,,,,
Albania,ALB,99.9,9.0,50.152,13150.134321095777,62.4,13702.628480021163,2.7250691854046067,27400.0,2460730040.0,1.10915100558884,-14901.0,68.411252681582,27.8571428571429,36.9,55.980276426546,52.831529389577696,4.64,638.0,69.05,0.75,-31.0,876.0,547.0,334.0
United Arab Emirates,ARE,100.0,12.0,76.82,70281.88895042108,94.8199,90761.41687711093,6.804797039392454,71020.0,184297150444.0,,34155.0,81.7573549214794,22.5,0.2,84.686675718659,0.751495776869112,7039.0,836.0,65.7,962.0,207.0,,737.0,208.0
Argentina,ARG,100.0,14.0,53.899,23385.07409049166,74.2949,34868.77041211704,26.00637928190794,2736690.0,57560313404.0,0.8477548112594401,4931.0,64.1137437299744,38.1322957198444,10.4,91.6776028433824,21.505941986483013,6039.0,907.0,67.0,832.0,-0.19,841.0,715.0,292.0
Armenia,ARM,99.7,12.0,50.581,12066.004309381942,64.7449,14723.55959592144,2.1506418984861284,28470.0,2219407452.0,3.84973057654684,-14180.0,68.1111272919884,18.0952380952381,12.6,64.7124948593667,41.953387777937,4288.0,698.0,66.55,614.0,-152.0,865.0,552.0,437.0
Australia,AUS,100.0,11.0,61.599,48564.82865923721,86.545,134361.75044301056,3.6462335800608656,7692020.0,223390432929.0,2.00509517581937,255023.0,65.7711179415292,28.6666666666667,9.9,87.12809266445,9.982970452866246,7257.0,0.95,70.75,911.0,314.0,411.0,728.0,225.0
Austria,AUT,100.0,13.0,57.292,53869.8321183556,87.9356,96032.60562900652,0.9753179067323714,82520.0,167892178390.0,0.761540652203723,45478.0,66.974326831199,34.4262295081967,34.0,67.9051196052802,9.384955968615142,7294.0,906.0,70.65,0.89,129.0,518.0,699.0,0.18
Azerbaijan,AZE,100.0,9.0,61.787,14315.92964310605,79.0,32690.734709764176,16.22620454917096,82662.0,15318306400.0,3.75630173249661,-11324.0,69.9448498293551,16.8,1.9,56.4331887124691,55.12006150795639,5152.0,787.0,63.35,731.0,-228.0,653.0,512.0,198.0
Burundi,BDI,9.3,,79.093,791.3934949298982,2.66075,2730.9278759975787,13.272109654350174,25680.0,149981241.0,2.00270990259373,-68349.0,49.7345082830426,36.3636363636364,88.2,16.6241273909209,85.44341594820989,,,,,,,,
Belgium,BEL,100.0,12.0,49.554,50256.06317727839,87.6797,90443.7534076324,1.983163436048585,30333.0,425827183351.0,0.886837200658898,37981.0,64.4426328280277,38.0,9.7,86.6731739531869,11.248116227130357,6928.0,922.0,70.3,857.0,0.05,543.0,713.0,234.0
Benin,BEN,34.5,6.0,73.058,2885.8938398772107,18.7,2228.333380476851,-0.3678977251191639,112760.0,732884929.0,0.920613124425981,3716.0,53.7641385473821,7.2289156626506,45.4,47.2942774880391,82.5652532589345,4853.0,436.0,54.9,727.0,-64.0,767.0,598.0,458.0
Burkina Faso,BFA,17.0,10.0,74.479,2042.4029525991664,7.79,2504.6898440149507,1.416297279981066,273600.0,2909368705.0,1.36362970468668,-14780.0,52.3179781131451,11.0236220472441,74.6,25.9769918665632,80.8230232927942,4647.0,785.0,54.15,614.0,-62.0,727.0,0.58,354.0
